Type,R,Mana cost,Mana value,P,T,L,Price (USD),Watermark,Color
Creature — Dwarf Artificer,U,{3}{W},4,3,3,,0.14,,W
Instant,C,{1}{B},2,,,,0.08,,B
Sorcery,C,{2}{R},3,,,,0.03,,R
Instant,U,{1}{W},2,,,,0.12,,W
Creature — Human Artificer,U,{2}{W}{U},4,2,4,,0.04,,WU
Enchantment — Aura,U,{1}{U},2,,,,0.23,,U
Creature — Elephant,R,{3}{G}{G}{G},6,8,8,,0.47,,G
Creature — Elemental,U,{3}{U}{U},5,4,4,,0.16,,U
Legendary Planeswalker — Ajani,M,{2}{W}{W},4,,,4,3.74,,W
Legendary Planeswalker — Ajani,M,{3}{W}{W},5,,,5,6.17,,W
Sorcery,R,{2}{W}{W},4,,,,0.34,,W
Enchantment,R,{2}{W}{W},4,,,,0.09,,W
Creature — Cat Soldier,U,{1}{W},2,2,2,,0.17,,W
Enchantment,U,{W},1,,,,1.59,,W
Enchantment,R,{R},1,,,,1.77,,R
Artifact,R,{2},2,,,,0.15,,
Creature — Angel,C,{4}{W},5,3,3,,0.04,,W
Instant,C,{1}{U},2,,,,0.03,,U
Sorcery,M,{7}{R}{R}{R},10,,,,0.57,,R
Legendary Creature — Elder Dragon,M,{1}{G}{W}{U},4,3,5,,3.97,,GWU
Artifact,U,{3},3,,,,0.21,,
Creature — Zombie Gorgon,U,{1}{B}{B},3,3,3,,0.32,,B
Creature — Bird Wizard,C,{2}{U},3,2,2,,0.04,,U
Creature — Human Artificer,C,{2}{U},3,1,2,,0.04,,U
Sorcery,R,{X}{R},1,,,,0.64,,R
Instant,C,{2}{U},3,,,,0.2,,U
Enchantment — Aura,U,{2}{G},3,,,,0.15,,G
Sorcery,U,{3}{B},4,,,,0.13,,B
Creature — Goblin Warrior,C,{2}{R},3,3,2,,0.02,,R
Creature — Beast,C,{4}{B}{B},6,6,5,,0.03,,B
Creature — Dragon Skeleton,M,{3}{B}{B},5,5,4,,0.55,,B
Instant,U,{2}{U}{U},4,,,,0.03,,U
Creature — Ogre Warrior,U,{2}{B}{R},4,3,3,,0.02,,BR
Creature — Boar,C,{3}{G},4,4,3,,0.05,,G
Instant,C,{1}{U}{U},3,,,,0.04,,U
Creature — Elemental,C,{2}{R},3,2,2,,0.03,,R
Creature — Human Knight,C,{1}{W},2,2,1,,0.04,,W
Creature — Centaur Warrior,C,{2}{G},3,3,3,,0.02,,G
Artifact,R,{3},3,,,,0.56,,
Creature — Vampire,C,{1}{B},2,2,1,,0.01,,B
Legendary Creature — Elder Dragon,M,{4}{W}{U}{B},7,7,7,,0.72,,WUB
Land,C,,0,,,,0.15,,BR
Sorcery,R,{3}{W}{W},5,,,,1.81,,W
Creature — Dinosaur,C,{4}{G}{G},6,6,6,,0.08,,G
Enchantment,U,{2}{G},3,,,,0.46,,G
Creature — Human Cleric,U,{W},1,1,1,,0.21,,W
Sorcery,C,{R},1,,,,0.15,,R
Artifact,M,{3},3,,,,20.45,,
Creature — Basilisk,C,{2}{G},3,2,2,,0.05,,G
Creature — Goblin Shaman,R,{1}{R},2,2,2,,0.19,,R
Creature — Human Cleric,C,{1}{W},2,1,3,,0.03,,W
Creature — Zombie Wizard,R,{1}{B}{B},3,2,2,,1.57,,B
Sorcery,U,{3}{G}{G},5,,,,0.05,,G
Creature — Dragon,R,{3}{R}{R},5,5,5,,0.28,,R
Creature — Demon,R,{2}{B}{B},4,6,6,,0.36,,B
Creature — Spirit Pirate,U,{1}{U},2,2,2,,0.11,,U
Artifact,R,{3},3,,,,0.84,,
Land,R,,0,,,,1.56,,
Artifact Creature — Horse,U,{2},2,1,3,,0.1,,
Creature — Zombie,U,{B},1,2,2,,0.09,,B
Creature — Human Wizard,R,{1}{R},2,2,2,,0.16,,R
Instant,C,{1}{U},2,,,,0.02,,U
Sorcery,C,{2}{U},3,,,,0.06,,U
Creature — Djinn,R,{3}{U}{U},5,4,4,,0.1,,U
Creature — Human,C,{1}{B},2,1,1,,0.04,,B
Sorcery,U,{R}{R},2,,,,0.2,,R
Creature — Human Shaman,U,{1}{R}{G},3,2,2,,0.15,,GR
Creature — Dragon Egg,U,{2}{R},3,0,2,,0.05,,R
Artifact,R,{3},3,,,,0.95,,
Creature — Human Druid,U,{3}{G},4,2,3,,0.04,,G
Creature — Elf Druid,C,{1}{G},2,1,3,,0.07,,G
Creature — Dryad,U,{1}{G},2,1,3,,0.16,,G
Sorcery,C,{B},1,,,,0.04,,B
Creature — Dwarf Cleric,C,{3}{W},4,2,4,,0.03,,W
Enchantment — Aura,C,{2}{U},3,,,,0.03,,U
Instant,C,{3}{R},4,,,,0.03,,R
Creature — Elf Druid,R,{G}{G},2,1,1,,1.41,,G
Creature — Elf Druid,C,{2}{G},3,1,1,,0.04,,G
Creature — Drake,U,{1}{U}{R},3,*,4,,0.11,,UR
Creature — Vampire,C,{4}{B},5,4,4,,0.1,,B
Instant,C,{1}{U},2,,,,0.03,,U
Creature — Human Wizard,U,{2}{U},3,2,2,,0.09,,U
Artifact,C,{1},1,,,,0.03,,
Creature — Specter,U,{3}{B},4,1,3,,0.26,,B
Artifact Creature — Scarecrow,C,{2},2,2,1,,0.04,,
