Type,R,Mana cost,Mana value,P,T,L,Price (USD),Watermark,Color
Creature — Horror,C,{3}{B}{G}{U},6,3,4,0,0.06,Sultai,BGU
Enchantment,R,{W}{B}{G},3,0,0,0,0.17,Abzan,WBG
Artifact,C,{3},3,0,0,0,0.11,Abzan,WBG
Creature — Human Cleric,U,{3}{W},4,3,2,0,0.25,Abzan,W
Instant,U,{W}{B}{G},3,0,0,0,0.2,Abzan,WBG
Creature — Human Soldier,U,{2}{W},3,2,3,0,0.11,Abzan,W
Creature — Human Warrior,C,{3}{W}{B}{G},6,4,4,0,0.05,Abzan,WBG
Sorcery,C,{2}{R},3,0,0,0,0.04,0,R
Creature — Dog Soldier,C,{1}{W},2,2,1,0,0.06,Abzan,W
Creature — Dog Scout,C,{5}{R},6,3,3,0,0.02,Temur,R
Creature — Kirin,C,{3}{W},4,2,3,0,0.02,0,W
Creature — Bear,C,{2}{G},3,4,2,0,0.2,0,G
Artifact,R,{1},1,0,0,0,6.17,0,0
Legendary Creature — Human Soldier,M,{W}{B}{G},3,4,4,0,1.49,Abzan,WBG
Creature — Goblin Berserker,R,{2}{R}{W}{B},5,2,2,0,0.23,Mardu,RWB
Sorcery,U,{2}{R},3,0,0,0,0.08,0,R
Creature — Wall,C,{1}{G},2,0,5,0,0.09,Abzan,BG
Creature — Human Soldier,U,{2}{W}{B}{G},5,4,4,0,0.12,Abzan,WBG
Sorcery,C,{3}{R}{R},5,0,0,0,0.04,Mardu,R
Creature — Phoenix,M,{2}{R}{R},4,4,1,0,0.36,0,R
Creature — Elephant Warrior,R,{2}{G}{U}{R},5,6,4,0,0.11,Temur,UGR
Instant,C,{2}{G},3,0,0,0,0.1,0,G
Sorcery,C,{2}{R},3,0,0,0,0.12,Temur,R
Creature — Human Warrior,U,{2}{G}{U}{R},5,2,2,0,0.1,Temur,UGR
Instant,U,{5}{G},6,0,0,0,0.19,Sultai,G
Creature — Orc Warrior,U,{3}{B},4,4,5,0,0.04,Mardu,B
Sorcery,C,{3}{B},4,0,0,0,0.06,0,B
Instant,U,{4}{U},5,0,0,0,0.06,0,U
Land,C,0,0,0,0,0,0.1,0,BR
Creature — Efreet Monk,C,{2}{R},3,3,1,0,0.02,Jeskai,R
Creature — Efreet Shaman,C,{2}{R},3,0,5,0,0.03,Jeskai,UR
Creature — Human Warrior,R,{B},1,2,1,0,1.17,Mardu,B
Land,R,0,0,0,0,0,40.96,0,0
Land,C,0,0,0,0,0,0.1,0,GW
Enchantment,U,{1}{W},2,0,0,0,0.98,0,W
Artifact,U,{X},0,0,0,0,0.09,0,0
Instant,C,{3}{R},4,0,0,0,0.02,0,R
Instant,U,{4}{R},5,0,0,0,0.09,0,R
Creature — Demon,R,{1}{R}{W}{B},4,5,4,0,0.21,Mardu,RWB
Instant,C,{1}{U}{U},3,0,0,0,0.06,0,U
Creature — Human Rogue,C,{4}{R},5,5,2,0,0.02,Mardu,R
Creature — Human Warrior,U,{W}{B},2,3,2,0,0.1,Mardu,WB
Creature — Human Warrior,U,{W}{B},2,2,3,0,0.08,Abzan,WB
Creature — Shapeshifter,M,{2}{U}{U},4,0,0,0,2.22,0,U
Instant,R,{R}{W}{B},3,0,0,0,0.23,Mardu,RWB
Artifact,U,{2},2,0,0,0,0.1,0,0
Sorcery,R,{X}{R},1,0,0,0,0.16,Temur,R
Instant,C,{2}{U},3,0,0,0,0.03,0,U
Creature — Wall,U,{4}{W},5,0,7,0,0.1,Abzan,W
Sorcery,U,{9}{B},10,0,0,0,0.09,Sultai,B
Sorcery,U,{3}{B}{G},5,0,0,0,0.07,Sultai,BG
Enchantment — Aura,C,{1}{B},2,0,0,0,0.04,0,B
Instant,C,{W},1,0,0,0,0.1,0,W
Instant,R,{R}{W},2,0,0,0,0.71,0,RW
Sorcery,U,{B},1,0,0,0,0.1,0,B
Instant,R,{6}{U}{U},8,0,0,0,1.59,Sultai,U
Instant,C,{1}{U},2,0,0,0,0.05,0,U
Land,C,0,0,0,0,0,0.1,0,UB
Creature — Spirit Warrior,C,{B},1,0,4,0,0.1,Abzan,B
Enchantment — Aura,U,{2}{R},3,0,0,0,0.07,Temur,R
Legendary Artifact — Equipment,R,{4},4,0,0,0,0.31,0,0
